inverter_id,st,pv,mppt,north,east,lat,lon,elev_m,slope_deg,aspect_deg,cross_slope_deg,plane_rms_m,table_east,table_north,table_lat,table_lon
WB01-INV04,14,14,7,9890126.737,459647.047,-0.9940368,116.6373064,73.33,11.266,4.1,0.82,0.108,459647.047,9890126.737,-0.9940368,116.6373064
WB01-INV04,15,15,8,9890119.469,459647.047,-0.9941026,116.6373064,73.98,12.513,3.8,0.84,0.136,459647.047,9890119.469,-0.9941026,116.6373064
WB01-INV04,16,16,8,9890134.005,459662.647,-0.9939711,116.6374466,72.8,11.065,6.0,1.17,0.18,459662.647,9890134.005,-0.9939711,116.6374466
WB01-INV04,17,17,9,9890126.737,459662.647,-0.9940368,116.6374466,73.04,13.406,3.5,0.83,0.184,459662.647,9890126.737,-0.9940368,116.6374466
WB01-INV04,18,18,9,9890119.469,459662.647,-0.9941026,116.6374466,73.68,12.16,3.5,0.75,0.203,459662.647,9890119.469,-0.9941026,116.6374466
WB01-INV05,1,1,1,9890112.201,459584.647,-0.9941683,116.6367456,74.99,12.564,3.5,0.78,0.186,459584.647,9890112.201,-0.9941683,116.6367456
WB01-INV05,2,2,1,9890104.933,459584.647,-0.994234,116.6367456,75.61,12.418,359.5,-0.11,0.168,459584.647,9890104.933,-0.994234,116.6367456
WB01-INV05,3,3,2,9890097.665,459584.647,-0.9942998,116.6367455,76.14,10.982,0.9,0.17,0.113,459584.647,9890097.665,-0.9942998,116.6367455
WB01-INV05,4,4,2,9890090.397,459584.647,-0.9943655,116.6367455,76.81,12.737,0.3,0.07,0.179,459584.647,9890090.397,-0.9943655,116.6367455
WB01-INV05,5,5,3,9890112.201,459600.247,-0.9941683,116.6368858,74.98,11.884,358.1,-0.4,0.165,459600.247,9890112.201,-0.9941683,116.6368858
WB01-INV05,6,6,3,9890104.933,459600.247,-0.994234,116.6368858,75.53,12.857,1.8,0.41,0.133,459600.247,9890104.933,-0.994234,116.6368858
WB01-INV05,7,7,4,9890097.665,459600.247,-0.9942998,116.6368858,76.35,10.233,0.2,0.04,0.061,459600.247,9890097.665,-0.9942998,116.6368858
WB01-INV05,8,8,4,9890112.201,459615.847,-0.9941683,116.637026,75.04,10.841,1.7,0.33,0.091,459615.847,9890112.201,-0.9941683,116.637026
WB01-INV05,9,9,5,9890104.933,459615.847,-0.9942341,116.637026,75.65,11.367,1.0,0.2,0.122,459615.847,9890104.933,-0.9942341,116.637026
WB01-INV05,10,10,5,9890097.665,459615.847,-0.9942998,116.637026,76.32,9.847,1.4,0.24,0.084,459615.847,9890097.665,-0.9942998,116.637026
WB01-INV05,11,11,6,9890112.201,459631.447,-0.9941683,116.6371662,74.91,9.642,4.7,0.8,0.107,459631.447,9890112.201,-0.9941683,116.6371662
WB01-INV05,12,12,6,9890104.933,459631.447,-0.9942341,116.6371662,75.53,11.072,2.8,0.55,0.096,459631.447,9890104.933,-0.9942341,116.6371662
WB01-INV05,13,13,7,9890097.665,459631.447,-0.9942998,116.6371662,76.26,10.363,3.6,0.66,0.09,459631.447,9890097.665,-0.9942998,116.6371662
WB01-INV05,14,14,7,9890112.201,459647.047,-0.9941683,116.6373064,74.66,10.579,2.0,0.37,0.094,459647.047,9890112.201,-0.9941683,116.6373064
WB01-INV05,15,15,8,9890104.933,459647.047,-0.9942341,116.6373064,75.31,11.472,3.1,0.63,0.17,459647.047,9890104.933,-0.9942341,116.6373064
WB01-INV05,16,16,8,9890097.665,459647.047,-0.9942998,116.6373064,75.97,10.225,2.8,0.5,0.118,459647.047,9890097.665,-0.9942998,116.6373064
